epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0915,1.89001,7.96985,0.01913,0.00345,1,0.22916,0.16406,0.88222,4.96656,0.01288,0.00013336,0.00013336,0.00013336
2,17.6837,1.32532,6.73222,0.0118,0.00413,1,0.17859,0.12189,0.95738,4.98709,0.01139,0.000280584,0.000280584,0.000280584
3,19.1042,1.1423,6.84849,0.01019,0.00497,1,0.41236,0.27905,1.03509,4.99985,0.01402,0.000424838,0.000424838,0.000424838
4,20.6001,1.11035,6.1111,0.00982,0.00497,1,0.40339,0.33724,0.83382,4.68333,0.01142,0.000566122,0.000566122,0.000566122
5,22.2528,1.28087,5.85178,0.01068,0.00511,1,0.48813,0.38209,0.91508,4.56472,0.01266,0.000704434,0.000704434,0.000704434
6,23.956,1.17398,5.43842,0.01001,0.00513,1,0.995,0.50555,0.70349,4.66274,0.00946,0.000839776,0.000839776,0.000839776
7,25.6702,1.16499,4.98196,0.00987,0.00529,1,0.91167,0.44321,0.80856,4.47068,0.0094,0.000972148,0.000972148,0.000972148
8,28.3786,1.05344,5.32061,0.00998,0.00514,1,0.82833,0.45791,0.97991,4.46667,0.01236,0.00110155,0.00110155,0.00110155
9,31.5643,1.15706,4.77294,0.00991,0.00507,1,0.995,0.61364,1.06533,4.32851,0.01509,0.00122798,0.00122798,0.00122798
10,33.5592,1.1339,5.26047,0.0099,0.00469,1,0.91167,0.63771,1.19882,4.00215,0.01673,0.00135144,0.00135144,0.00135144
11,35.0333,1.10291,5.2133,0.01029,0.00432,1,0.91167,0.58205,1.08636,4.08802,0.01427,0.00147193,0.00147193,0.00147193
12,36.4522,1.1518,4.82467,0.01062,0.76951,0.5,0.91167,0.65616,1.14233,3.43398,0.01587,0.00148546,0.00148546,0.00148546
13,37.8649,1.13755,4.28663,0.00927,0.77495,0.5,0.995,0.70193,1.09251,3.03536,0.01456,0.00146896,0.00146896,0.00146896
14,39.3921,1.09524,4.61971,0.00929,0.77495,0.5,0.995,0.70193,1.09251,3.03536,0.01456,0.00145246,0.00145246,0.00145246
15,40.8998,1.30538,4.06039,0.01115,0.75483,0.5,0.995,0.64953,1.03106,2.99126,0.01362,0.00143595,0.00143595,0.00143595
16,42.3123,1.14474,3.97952,0.01023,0.56518,1,0.91167,0.60235,1.2125,2.9846,0.01634,0.00141945,0.00141945,0.00141945
17,43.9492,1.21736,4.1955,0.01054,0.6195,0.75,0.91167,0.62688,1.31256,2.60339,0.01727,0.00140295,0.00140295,0.00140295
18,46.6136,1.31345,4.42222,0.01182,0.92607,0.99454,0.995,0.65353,1.24189,2.75158,0.01738,0.00138644,0.00138644,0.00138644
19,49.1332,1.13292,4.57134,0.01037,0.77715,1,0.91167,0.48257,1.03734,3.07497,0.01336,0.00136994,0.00136994,0.00136994
20,51.6561,1.13196,4.66307,0.01069,0.77715,1,0.91167,0.48257,1.03734,3.07497,0.01336,0.00135344,0.00135344,0.00135344
21,54.2874,1.21,4.07693,0.01121,0.92903,1,0.995,0.66114,1.05538,2.67514,0.01364,0.00133693,0.00133693,0.00133693
22,56.989,1.1154,3.76166,0.00933,0.80453,0.93411,0.995,0.81152,0.87566,2.27188,0.01154,0.00132043,0.00132043,0.00132043
23,59.5637,1.08628,3.49505,0.00941,0.87968,0.90569,0.995,0.80028,0.93921,2.0644,0.01201,0.00130393,0.00130393,0.00130393
24,62.1729,1.19193,3.54322,0.01035,0.88105,0.97333,0.995,0.77309,0.98201,1.8601,0.01219,0.00128742,0.00128742,0.00128742
25,64.635,1.17745,3.41092,0.00989,0.88105,0.97333,0.995,0.77309,0.98201,1.8601,0.01219,0.00127092,0.00127092,0.00127092
