epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2719,1.65893,6.00212,0.0197,0.00825,1,0.53792,0.34985,0.85272,4.81262,0.01325,0.000544981,0.000544981,0.000544981
2,21.47,1.42352,5.18555,0.01523,0.743,0.375,0.67681,0.4718,1.10468,4.31824,0.01825,0.00108975,0.00108975,0.00108975
3,27.717,1.41171,4.68999,0.01616,0.71421,0.72478,0.82833,0.59081,1.06145,3.44294,0.01545,0.00162352,0.00162352,0.00162352
4,34.0576,1.44262,4.40051,0.01579,0.66212,0.6604,0.89083,0.60594,1.12467,3.26445,0.01804,0.00161749,0.00161749,0.00161749
5,40.1323,1.46001,4.19097,0.01651,0.81746,0.625,0.83429,0.53621,1.46626,3.85176,0.0233,0.00160099,0.00160099,0.00160099
6,46.1495,1.44084,3.84828,0.01657,0.65575,1,0.92,0.66817,0.97736,2.13483,0.01465,0.00158448,0.00158448,0.00158448
7,52.1881,1.44916,3.58247,0.01637,0.72933,0.86959,0.97,0.71852,1.02562,2.08511,0.01563,0.00156798,0.00156798,0.00156798
8,58.4387,1.41218,3.32203,0.01531,0.6141,1,0.995,0.88351,0.6522,1.95381,0.00923,0.00155148,0.00155148,0.00155148
9,64.5959,1.47786,3.19384,0.01741,0.72103,1,0.995,0.77061,1.16767,1.77926,0.0187,0.00153497,0.00153497,0.00153497
10,70.5274,1.44967,2.87568,0.01501,0.68765,0.875,0.97,0.73219,0.9296,1.90886,0.01407,0.00151847,0.00151847,0.00151847
11,76.4209,1.3735,2.76715,0.01529,0.69279,0.86957,0.995,0.66195,1.52353,2.06884,0.02449,0.00150197,0.00150197,0.00150197
12,82.4557,1.48141,2.74197,0.01761,0.82266,0.92438,0.995,0.64741,1.38477,1.42088,0.02149,0.00148546,0.00148546,0.00148546
13,88.4696,1.43506,2.58453,0.01635,0.80129,0.89699,0.995,0.77335,1.02876,1.54034,0.01546,0.00146896,0.00146896,0.00146896
14,94.6053,1.46601,2.453,0.01674,0.89781,0.78715,0.995,0.75283,1.20305,1.35812,0.01916,0.00145246,0.00145246,0.00145246
15,100.61,1.38541,2.30604,0.01615,0.73101,1,0.995,0.83647,0.9498,0.773,0.01406,0.00143595,0.00143595,0.00143595
16,106.569,1.43202,2.3144,0.01505,0.91803,0.79928,0.995,0.79403,0.86069,1.0417,0.01335,0.00141945,0.00141945,0.00141945
17,112.571,1.43886,2.29501,0.01692,0.93419,0.99361,0.995,0.73022,1.48825,0.6937,0.02419,0.00140295,0.00140295,0.00140295
18,118.558,1.43985,2.09756,0.01592,0.43459,1,0.995,0.835,0.81325,0.64284,0.01237,0.00138644,0.00138644,0.00138644
19,124.576,1.41901,1.99517,0.01535,0.71513,1,0.995,0.71867,1.30612,0.58826,0.02041,0.00136994,0.00136994,0.00136994
20,130.516,1.40141,2.02318,0.01565,0.95187,0.86515,0.995,0.76598,1.24582,0.62148,0.01963,0.00135344,0.00135344,0.00135344
21,136.555,1.41539,1.95293,0.01564,0.8964,1,0.995,0.86213,0.72911,0.53798,0.01121,0.00133693,0.00133693,0.00133693
22,142.52,1.45783,1.92603,0.01614,0.95411,0.875,0.97,0.72345,1.18209,0.68369,0.01892,0.00132043,0.00132043,0.00132043
23,148.498,1.47386,1.93593,0.01729,0.88471,1,0.995,0.76396,1.162,0.59014,0.01881,0.00130393,0.00130393,0.00130393
24,154.476,1.42064,1.76178,0.01546,0.92592,0.97339,0.995,0.78099,0.99272,0.50484,0.01511,0.00128742,0.00128742,0.00128742
25,160.549,1.43437,1.71804,0.01611,0.73911,0.875,0.97,0.82388,0.85776,0.74226,0.0129,0.00127092,0.00127092,0.00127092
26,166.528,1.39146,1.76264,0.01606,0.8435,1,0.995,0.79541,0.96638,0.40291,0.01498,0.00125442,0.00125442,0.00125442
27,172.467,1.38505,1.72279,0.01584,0.92314,1,0.995,0.6524,1.41946,0.40026,0.02256,0.00123791,0.00123791,0.00123791
28,178.287,1.39568,1.65177,0.01663,0.92214,0.99076,0.995,0.74625,1.04922,0.34334,0.01583,0.00122141,0.00122141,0.00122141
29,184.431,1.39488,1.70762,0.01563,0.91838,0.97325,0.995,0.82179,0.6852,0.5793,0.01028,0.00120491,0.00120491,0.00120491
30,190.457,1.36637,1.58409,0.0155,0.89269,0.99276,0.995,0.70289,1.08811,0.62234,0.01788,0.0011884,0.0011884,0.0011884
31,196.372,1.38247,1.57863,0.01474,0.48644,1,0.995,0.80864,0.7918,0.62709,0.01219,0.0011719,0.0011719,0.0011719
32,202.196,1.35036,1.53671,0.01469,0.52148,1,0.995,0.71585,1.2521,0.53274,0.02002,0.0011554,0.0011554,0.0011554
33,208.472,1.36687,1.48623,0.01483,0.8415,1,0.995,0.70368,1.25296,0.43568,0.01949,0.00113889,0.00113889,0.00113889
34,214.535,1.32049,1.38179,0.01423,0.9667,1,0.995,0.81282,1.14348,0.34828,0.01795,0.00112239,0.00112239,0.00112239
35,220.518,1.41026,1.39471,0.01525,0.88525,1,0.995,0.69348,1.36854,0.43869,0.0219,0.00110589,0.00110589,0.00110589
36,226.604,1.35315,1.39338,0.01569,0.74607,1,0.995,0.77466,1.27577,0.47261,0.02012,0.00108938,0.00108938,0.00108938
37,232.746,1.32089,1.35635,0.0146,0.9491,1,0.995,0.75092,0.97526,0.29428,0.01457,0.00107288,0.00107288,0.00107288
38,239.001,1.3035,1.32809,0.01471,0.86335,1,0.995,0.85515,0.71625,0.50548,0.0105,0.00105638,0.00105638,0.00105638
39,245.136,1.33219,1.34435,0.01539,0.95581,0.84237,0.97,0.76995,0.98042,0.59115,0.0147,0.00103987,0.00103987,0.00103987
40,251.202,1.34367,1.34338,0.01468,0.92215,0.875,0.95333,0.8412,0.72881,0.52964,0.01148,0.00102337,0.00102337,0.00102337
41,257.145,1.34556,1.37073,0.01548,0.92982,0.98048,0.995,0.77443,1.00182,0.37028,0.01644,0.00100687,0.00100687,0.00100687
42,263.262,1.35535,1.34593,0.01464,0.88715,0.95893,0.995,0.76061,0.97763,0.49459,0.01481,0.000990365,0.000990365,0.000990365
43,269.343,1.34685,1.36828,0.01455,0.96904,1,0.995,0.81079,0.73366,0.27965,0.01052,0.000973861,0.000973861,0.000973861
44,275.607,1.31246,1.34118,0.01504,0.96452,1,0.995,0.73519,0.95787,0.2737,0.01435,0.000957358,0.000957358,0.000957358
45,281.694,1.33985,1.32512,0.01489,0.75613,1,0.995,0.87857,0.75395,0.39402,0.01099,0.000940855,0.000940855,0.000940855
46,287.706,1.35847,1.3401,0.01519,0.75575,1,0.995,0.77807,0.90805,0.50881,0.01389,0.000924352,0.000924352,0.000924352
