epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,26.0431,1.16335,8.23094,0.05454,0.02787,0.54629,0.40211,0.2681,0.21447,0.81429,4.22706,0.05422,0.01148,0.000466807,0.000466807,0.000466807
2,38.715,0.89054,6.72161,0.0525,0.01366,0.5542,0.37614,0.29401,0.23571,0.7053,3.9519,0.05475,0.00852,0.000933803,0.000933803,0.000933803
3,50.8893,0.84493,6.2175,0.05901,0.01389,0.63554,0.38864,0.34481,0.27105,0.76746,3.64643,0.06566,0.00864,0.00139137,0.00139137,0.00139137
4,63.0627,0.88855,5.66693,0.05973,0.01521,0.66349,0.48248,0.36957,0.2954,0.80399,2.99945,0.06774,0.01026,0.00138656,0.00138656,0.00138656
5,76.4636,0.88293,5.11706,0.0609,0.01167,0.73816,0.46877,0.47877,0.37335,0.7964,2.34856,0.07104,0.01014,0.00137241,0.00137241,0.00137241
6,91.1663,0.97347,4.85954,0.05764,0.02693,0.68552,0.40696,0.44658,0.35599,0.78528,2.30052,0.06897,0.01145,0.00135826,0.00135826,0.00135826
7,104.051,0.96319,4.60013,0.05722,0.02472,0.65613,0.39368,0.44259,0.3654,0.75219,2.13712,0.06738,0.0067,0.00134412,0.00134412,0.00134412
8,125.402,0.89556,3.75028,0.05633,0.01236,0.78264,0.46456,0.54197,0.44215,0.7207,2.03305,0.06898,0.0107,0.00132997,0.00132997,0.00132997
9,149.856,0.89247,3.91489,0.06299,0.01868,0.80171,0.57376,0.62459,0.51126,0.72983,1.59308,0.06187,0.01039,0.00131582,0.00131582,0.00131582
10,165.97,0.89419,3.21204,0.05682,0.02104,0.85101,0.58321,0.70941,0.57145,0.72687,1.24522,0.06007,0.00963,0.00130168,0.00130168,0.00130168
11,185.182,0.88113,3.01282,0.05766,0.01949,0.61301,0.63251,0.72856,0.60885,0.63554,1.05867,0.05974,0.00815,0.00128753,0.00128753,0.00128753
12,204.985,0.77842,2.60487,0.04926,0.01334,0.56734,0.8378,0.77071,0.65354,0.6278,1.24654,0.06129,0.00817,0.00127338,0.00127338,0.00127338
13,224.872,0.82553,2.46494,0.04926,0.0118,0.69213,0.79088,0.86078,0.71601,0.65921,0.85483,0.06217,0.00979,0.00125923,0.00125923,0.00125923
14,247.676,0.81751,2.23374,0.05213,0.02095,0.63586,0.88491,0.82196,0.67432,0.69007,0.79402,0.05463,0.00794,0.00124509,0.00124509,0.00124509
15,263.015,0.82211,2.04403,0.04837,0.0184,0.76669,0.6816,0.86841,0.71692,0.72429,0.85298,0.0526,0.00759,0.00123094,0.00123094,0.00123094
16,275.042,0.86414,1.97734,0.04717,0.01992,0.76357,0.82516,0.85743,0.7255,0.67827,0.84993,0.05236,0.00806,0.00121679,0.00121679,0.00121679
17,288.221,0.82074,1.73096,0.05028,0.0152,0.76616,0.83135,0.92858,0.78034,0.67447,0.7619,0.05371,0.00964,0.00120265,0.00120265,0.00120265
