epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,37.1115,0.75268,0.47883,0.05725,0.01249,0.93439,0.93239,0.9805,0.86717,0.57215,0.31108,0.07521,0.00312,0.000472003,0.000472003,0.000472003
2,61.5677,0.74145,0.46627,0.05708,0.01552,0.91305,0.91821,0.97389,0.86668,0.56153,0.34556,0.07397,0.00383,0.000938948,0.000938948,0.000938948
3,86.601,0.74688,0.45255,0.05542,0.01539,0.90017,0.94388,0.97087,0.8549,0.59866,0.32804,0.06927,0.00508,0.00139646,0.00139646,0.00139646
4,111.151,0.79331,0.46227,0.05203,0.01624,0.87401,0.94113,0.97466,0.83842,0.66364,0.37204,0.06191,0.00806,0.00138656,0.00138656,0.00138656
5,135.427,0.78309,0.48219,0.04972,0.01683,0.96023,0.93599,0.98887,0.85419,0.64856,0.30868,0.06092,0.00522,0.00137241,0.00137241,0.00137241
6,160.919,0.74571,0.44948,0.05849,0.01269,0.95661,0.96337,0.98795,0.87959,0.5637,0.27742,0.06587,0.00333,0.00135826,0.00135826,0.00135826
7,185.754,0.69315,0.42938,0.05248,0.01312,0.94963,0.96734,0.98864,0.86891,0.5902,0.28056,0.0649,0.00965,0.00134412,0.00134412,0.00134412
8,210.595,0.74035,0.42109,0.04977,0.01502,0.96297,0.9594,0.99134,0.86793,0.59286,0.27935,0.06405,0.00476,0.00132997,0.00132997,0.00132997
9,245.554,0.74957,0.42157,0.05026,0.01536,0.93188,0.96896,0.98789,0.84756,0.66281,0.30982,0.06209,0.0054,0.00131582,0.00131582,0.00131582
10,294.932,0.80761,0.43581,0.04556,0.01914,0.92383,0.98697,0.98456,0.85892,0.63071,0.27944,0.05454,0.00602,0.00130168,0.00130168,0.00130168
11,339.256,0.75128,0.41983,0.04754,0.01456,0.96532,0.9719,0.99174,0.84628,0.67364,0.28554,0.05653,0.00791,0.00128753,0.00128753,0.00128753
12,377.429,0.72494,0.37756,0.0476,0.01344,0.96706,0.98747,0.9881,0.87078,0.61034,0.24029,0.0538,0.00807,0.00127338,0.00127338,0.00127338
13,413.577,0.74475,0.39133,0.04616,0.01381,0.97851,0.9522,0.99127,0.86859,0.59584,0.25788,0.05522,0.00572,0.00125923,0.00125923,0.00125923
14,446.807,0.76315,0.38597,0.04731,0.01329,0.9746,0.97725,0.9936,0.86773,0.6188,0.22112,0.05257,0.00575,0.00124509,0.00124509,0.00124509
15,479.003,0.765,0.37524,0.04258,0.01979,0.98016,0.98409,0.99356,0.87573,0.59732,0.21185,0.05587,0.00538,0.00123094,0.00123094,0.00123094
16,514.735,0.77034,0.39225,0.0488,0.02014,0.97031,0.95472,0.99181,0.86414,0.59446,0.25783,0.06174,0.00411,0.00121679,0.00121679,0.00121679
17,550.16,0.73706,0.40811,0.05303,0.02157,0.98039,0.9559,0.99209,0.86016,0.64263,0.24116,0.05758,0.00468,0.00120265,0.00120265,0.00120265
18,594.3,0.73829,0.39138,0.05072,0.01525,0.9898,0.98068,0.99414,0.8625,0.64003,0.21254,0.05663,0.00608,0.0011885,0.0011885,0.0011885
19,626.868,0.76772,0.35838,0.05335,0.01698,0.96315,0.96847,0.99102,0.87286,0.60719,0.25349,0.05657,0.00485,0.00117435,0.00117435,0.00117435
20,655.728,0.77008,0.38636,0.05335,0.01792,0.97288,0.98354,0.99339,0.87353,0.64385,0.24606,0.0616,0.00656,0.00116021,0.00116021,0.00116021
21,688.8,0.76827,0.38009,0.0523,0.01623,0.97714,0.95699,0.991,0.86556,0.64402,0.24209,0.06055,0.00592,0.00114606,0.00114606,0.00114606
22,716.471,0.75032,0.40408,0.05551,0.01533,0.98163,0.99167,0.99428,0.88117,0.59469,0.20225,0.05566,0.00598,0.00113191,0.00113191,0.00113191
23,743.742,0.73576,0.36671,0.05483,0.01079,0.9761,0.99743,0.99443,0.87848,0.59264,0.21272,0.05787,0.00378,0.00111776,0.00111776,0.00111776
24,772.597,0.76349,0.35408,0.05115,0.01252,0.95222,0.9922,0.99303,0.87636,0.59429,0.22476,0.05392,0.00397,0.00110362,0.00110362,0.00110362
25,799.579,0.74315,0.36487,0.05199,0.02134,0.9834,0.97179,0.9945,0.8765,0.60813,0.2269,0.0544,0.00474,0.00108947,0.00108947,0.00108947
26,827.211,0.7118,0.34006,0.04568,0.0134,0.99175,0.98006,0.99439,0.86334,0.61591,0.20772,0.05288,0.00634,0.00107532,0.00107532,0.00107532
27,854.79,0.7687,0.35955,0.0465,0.01942,0.96574,0.92832,0.99011,0.87605,0.59246,0.26113,0.05213,0.00587,0.00106118,0.00106118,0.00106118
28,882.867,0.72313,0.37169,0.04811,0.01554,0.97064,0.97159,0.99325,0.88098,0.59578,0.22424,0.0504,0.00437,0.00104703,0.00104703,0.00104703
29,910.405,0.75741,0.341,0.04047,0.01705,0.98192,0.97374,0.99172,0.86762,0.62695,0.23098,0.04609,0.00714,0.00103288,0.00103288,0.00103288
30,937.708,0.72772,0.34899,0.0415,0.01411,0.94962,0.97828,0.99214,0.86913,0.60918,0.24894,0.04486,0.00681,0.00101873,0.00101873,0.00101873
31,964.733,0.70809,0.3379,0.0417,0.01766,0.96733,0.98835,0.98943,0.87152,0.60965,0.20594,0.05191,0.01041,0.00100459,0.00100459,0.00100459
32,992.058,0.69114,0.33433,0.04906,0.00914,0.98252,0.98221,0.99419,0.87003,0.60452,0.22201,0.05148,0.00491,0.00099044,0.00099044,0.00099044
33,1019.52,0.71491,0.31985,0.04653,0.01557,0.94233,0.98873,0.9913,0.88046,0.59044,0.22566,0.05123,0.00541,0.000976293,0.000976293,0.000976293
34,1046.75,0.68239,0.31714,0.04702,0.01168,0.97868,0.98515,0.99341,0.87714,0.59858,0.21278,0.04879,0.00456,0.000962146,0.000962146,0.000962146
